ID,First Name,Middle Name,Last Name,Category ID,Link to the SIGGRAPH History Archive,Category Description,Role
0353,Julian,E.,Gomez,6,,Chapters,"1988-1990, 1993-1996 San Francisco Bay Area Chapter"
0354,Carlos,,Gonzalez-Ochoa,2,,Conference Committee,2020-2021 Games Chair
0355,Steven,J.,Gortler,1,,Award,2002 Significant New Researcher Award
0356,Uttam,,Grandhi,4,,Pioneer,1996 Pioneer
0357,Don,,Greenberg,1,,Award,1987 Steven Anson Coons Award
0358,Don,,Greenberg,1,,Award,2018 SIGGRAPH Academy
0359,Don,,Greenberg,1,,Award,2020 Distinguished Educator Award
0360,Don,,Greenberg,2,,Conference Committee,1981 Panels Chair
0361,Don,,Greenberg,4,,Pioneer,1981 Pioneer
0362,Cindy,,Grimm,3,,Executive Committee,2010 Director of Research
0363,Diane,,Gromala,2,,Conference Committee,2000 Art Gallery Chair
0364,Markus,,Gross,1,,Award,2021 Steven Anson Coons Award
0365,Joshua,,Grow,2,,Conference Committee,2008 Student Mentoring Chair (XSV)
0366,Joshua,,Grow,2,,Conference Committee,2003 Student Volunteers Chair
0367,Joshua,,Grow,2,,Conference Committee,2011-2012 Computer Animation Festival Director
0368,Joshua,,Grow,2,,Conference Committee,2018-2019 Attendee Experience Chair
0369,Fahad,,Haddad,2,,Conference Committee,2018 Posters Coordinator
0370,Eric,,Haines,4,,Pioneer,1983 Pioneer
0371,Mk,,Haley,2,,Conference Committee,2013 Conference Chair
0372,Mk,,Haley,2,,Conference Committee,1997 Student Volunteers Chair
0373,Mk,,Haley,2,,Conference Committee,2007 Pathfinders
0374,Mk,,Haley,2,,Conference Committee,2008-2009 Conference Director of Encounters
0375,Mk,,Haley,2,,Conference Committee,2019-2020 Frontiers Talks Chair
0376,Mk,,Haley,2,,Conference Committee,2022 E-Tech Chair
0377,Mk,,Haley,3,,Executive Committee,2004-2006 Executive Committee
0378,Mk,,Haley,4,,Pioneer,1997 Pioneer
0379,Yoon,Chung,Han,2,,Conference Committee,2023 Art Gallery Chair
0380,Pat,,Hanrahan,1,,Award,2018 SIGGRAPH Academy
0381,Pat,,Hanrahan,4,,Pioneer,Pioneer
0382,Mike,,Hardison,2,,Conference Committee,2015 Games Chair
0383,Lou,,Harrison,2,,Conference Committee,2001 Courses Chair
0384,Lou,,Harrison,2,,Conference Committee,2003 Panels Chair
0385,Lou,,Harrison,2,,Conference Committee,2006 Pathfinders
0386,Lou,,Harrison,2,,Conference Committee,2003 Academic Exhibits Chair
0387,Lou,,Harrison,4,,Pioneer,1987 Pioneer
0388,Lou,,Harrison,5,,SIGGRAPH Committee,1999-2002 Courses Committee
0389,Lou,,Harrison,5,,SIGGRAPH Committee,2007-2014 Student Services Committee
0390,John,C.,Hart,3,,Executive Committee,1994-1998 Executive Committee
0391,John,C.,Hart,4,,Pioneer,Pioneer
0392,Jean-Pierre,,Hébert,1,,Award,2012 Distinguished Artist Award
0393,Jean-Pierre,,Hébert,1,,Award,2018 SIGGRAPH Academy
0394,Barb,,Helfer,1,,Award,2022 Outstanding Service Award
0395,Barb,,Helfer,3,,Executive Committee,2002-2004 Executive Committee Member
0396,Jim,,Helman,4,,Pioneer,1986 Pioneer
0397,Nicolas,,Henchoz,2,,Conference Committee,2023 Art Papers Chair
0398,Paul,Richard,Hertz,4,,Pioneer,1983 Pioneer
0399,Bertram,,Herzog,1,,Award,2002 Outstanding Service Award
0400,Bertram,,Herzog,2,,Conference Committee,1985 Panels Chair
0401,Bertram,,Herzog,4,,Pioneer,1985 Pioneer
0402,Edward,,Hill,4,,Pioneer,1984 Pioneer
0403,Stephen,,Hill,1,,Award,2019 Practitioner Award
0404,Jimmie,,Hilllin Jr.,2,,Conference Committee,2009 Director of Production Communities
0405,Jimmie,,Hilllin Jr.,4,,Pioneer,1984 Pioneer
0406,Jessica,K.,Hodgins,1,,Award,2010 Computer Graphics Achievement Award
0407,Jessica,K.,Hodgins,1,,Award,2017 Steven Anson Coons Award
0408,Jessica,K.,Hodgins,1,,Award,2018 SIGGRAPH Academy
0409,Jessica,K.,Hodgins,2,,Conference Committee,2003 Papers Chairs
0410,Jessica,K.,Hodgins,2,,Conference Committee,2007 Panels Chairs
0411,Jessica,K.,Hodgins,2,,Conference Committee,2007 Special Sessions Chair
0412,Jessica,K.,Hodgins,3,,Executive Committee,2012-2020 EC Director
0413,Jessica,K.,Hodgins,4,,Pioneer,1989 Pioneer
0414,Christine,,Holmes,2,,Conference Committee,2015 Student Volunteers Chair
0415,Christine,,Holmes,2,,Conference Committee,2018-2019 Experience Hall Manager
0416,Christine,,Holmes,2,,Conference Committee,2023 Production Sessions Chair
0417,Hugues,,Hoppe,1,,Award,2004 Computer Graphics Achievement Award
0418,Hugues,,Hoppe,1,,Award,2018 SIGGRAPH Academy
0419,Hugues,,Hoppe,2,,Conference Committee,2011 Technical Papers Chair
0420,Leo,,Hourvitz,2,,Conference Committee,1995 Panels Chair
0421,Leo,,Hourvitz,3,,Executive Committee,1999-2001 Executive Committee
0422,Leo,,Hourvitz,4,,Pioneer,1995 Pioneer
0423,Emily,,Hsu,2,,Conference Committee,2017-2018 Production Sessions Chair
0424,Emily,,Hsu,2,,Conference Committee,2019 Computer Animation Festival Director
0425,Takeo,,Igarashi,1,,Award,2006 Significant New Researcher Award
0426,Masa,,Inakage,3,,Executive Committee,"2002-2005, 2012-2014, 2021-2022 Executive Committee"
0427,Masahiko,,Inami,2,,Conference Committee,2016 E-Tech Chair
0428,Gary,,Jackemuk,2,,Conference Committee,1994 Student Volunteers Chair
0429,Norman,,Jaffe,4,,Pioneer,1971 Pioneer
0430,Eakta,,Jain,3,,Executive Committee,2022 Executive Committee Member
0431,Doug,L.,James,1,,Award,2021 Computer Graphics Achievement Award
0432,Doug,L.,James,2,,Conference Committee,2015 Technical Papers Chair
0433,Jason,,Jerald,2,,Conference Committee,2009 Student Mentoring (XSV) Chair
0434,Jason,,Jerald,2,,Conference Committee,2009-2010 Student Volunteers Chair
0435,Pol,,Jeremias-Vila,1,,Award,2022 Practitioner Award
0436,Pol,,Jeremias-Vila,2,,Conference Committee,2021 Conference Chair
0437,Pol,,Jeremias-Vila,2,,Conference Committee,2016 Real-Time Live! Chair
0438,Pol,,Jeremias-Vila,2,,Conference Committee,2017 Computer Animation Festival Director
0439,Pol,,Jeremias-Vila,2,,Conference Committee,2018 Virtual & Mixed Reality Chair
0440,Yibing,,Jiang,2,,Conference Committee,2022 Real-Time Live! Chair
0441,William,,Joel,4,,Pioneer,1983 Pioneer
0442,William,,Joel,5,,SIGGRAPH Committee,1987-2023 Education Committee
0443,Joaquim,,Jorge,4,,Pioneer,1988 Pioneer
0444,Joaquim,,Jorge,5,,SIGGRAPH Committee,2002-2011 Education Committee
0445,Joaquim,,Jorge,5,,SIGGRAPH Committee,2011-2020 Specialized Conferences Committee
0446,Joaquim,,Jorge,5,,SIGGRAPH Committee,2002-2004 International Resources Committee
0447,Joaquim,,Jorge,5,,SIGGRAPH Committee,2022-2023 External Relations Committee
0448,Jeff,,Jortner,2,,Conference Committee,1996 Networking/Teleconferencing Chair
0449,Jeff,,Jortner,2,,Conference Committee,1999 Panels Chairs
0450,Jeff,,Jortner,3,,Executive Committee,"1993-1994, 2006-2016 Executive Committee"
0451,Jeff,,Jortner,4,,Pioneer,1981 Pioneer
0452,Jeff,,Jortner,5,,SIGGRAPH Committee,2002-2005 Information Director
0453,Jeff,,Jortner,6,,Chapters,"1991-1996 Treasurer, Rio Grande Chapter"
0454,Nick,,Jushchyshyn,2,,Conference Committee,2023 Education Chair
0455,Jim,,Kajiya,1,,Award,1991 Computer Graphics Achievement Award
0456,Jim,,Kajiya,1,,Award,2011 Steven Anson Coons Award
0457,Jim,,Kajiya,4,,Pioneer,1991 Pioneer
0458,Craig,,Kaplan,2,,Conference Committee,2018 Courses Chair
0459,Alyce,,Kaprow,2,https://history.siggraph.org/person/alyce-kaprow/,Conference Committee,1990 Panels Chair
0460,Alyce,,Kaprow,2,,Conference Committee,1993 Art Gallery Chair
0461,Alyce,,Kaprow,3,,Executive Committee,1991-1995
0462,Dave,,Kasik,1,,Award,2012 Outstanding Service Award
0463,Dave,,Kasik,2,,Conference Committee,"1980, 1994 Exhibits Chair"
0464,Dave,,Kasik,4,,Pioneer,1974 Pioneer
0465,Dave,,Kasik,5,,SIGGRAPH Committee,History Committee
0466,Mona,,Kasra,2,,Conference Committee,2016 Conference Chair
0467,Mona,,Kasra,2,,Conference Committee,2011 Art Gallery Chair
0468,Mona,,Kasra,3,,Executive Committee,2019-2023 Executive Committee
0469,Michael,,Kass,1,,Award,2009 Computer Graphics Achievement Award
